Name,Year Published,Users Rated,Owned Users,Complexity Average,Mechanics
Tic Tac Chec,1995.0,68,202.0,2.17,"Grid Movement, Pattern Building"
Heresy,1995.0,109,207.0,3.2,Voting
Thirty Years War: the Great War 1618-1648,1995.0,59,310.0,2.83,Area Movement
Espresso,1995.0,36,88.0,1.0,Simultaneous Action Selection
Geronimo,1995.0,233,756.0,3.19,"Area Movement, Variable Player Powers"
Auf Achse: Das Kartenspiel,1995.0,95,224.0,1.73,
Hopple-Popple,1995.0,33,60.0,1.0,"Dice Rolling, Set Collection"
Gooey Louie,1995.0,89,150.0,1.0,
Stockers!,1995.0,49,120.0,1.4,Betting and Bluffing
I Spy Memory Game,1995.0,63,200.0,1.0,Memory
Skip-Bo Dice,1995.0,42,150.0,1.0,"Dice Rolling, Push Your Luck"
Red Zone,1995.0,38,72.0,1.5,
Origins,1995.0,73,199.0,1.14,
Star of the Guardians,1995.0,46,135.0,2.0,
Star Quest,1995.0,35,111.0,1.75,"Card Drafting, Hand Management"
Quests of the Round Table,1995.0,285,776.0,1.86,
Echelons of Fury,1995.0,52,122.0,2.2,"Campaign / Battle Card Driven, Hand Management"
Goosebumps: Terror in the Graveyard Game,1995.0,156,463.0,1.18,Modular Board
Echelons of Fire,1995.0,62,137.0,1.86,
Rummikub Rummy Dice Game,1995.0,92,318.0,1.27,Dice Rolling
30 Second Mysteries,1995.0,50,220.0,1.0,
Blood Wars,1995.0,204,401.0,2.25,"Hand Management, Negotiation"
Spite,1995.0,60,119.0,1.0,
POG The Game,1995.0,64,144.0,1.14,Hand Management
Hyborian Gates,1995.0,66,160.0,3.0,Point to Point Movement
Wit's End,1995.0,278,763.0,1.92,Roll / Spin and Move
Monopoly: Pokémon,1995.0,536,1402.0,1.94,"Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading"
Lucky Ducks,1995.0,149,256.0,1.0,"Pattern Recognition, Set Collection"
Monopoly: Deluxe Edition,1995.0,1177,2607.0,1.9,"Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Trading"
